#,Tracking_Num,Status,Date,Message
0,1ZE16Y080305764054,Delivered,2022-03-11,DELIVERED
1,1ZV817410306596272,Delivered,2022-03-11,DELIVERED
2,1ZA0T5860335653689,Exception,2022-03-09,Processing at UPS Facility
3,1Z8783R60332515160,Exception,2022-03-10,Arrived at Facility
4,1Z9334E8YW43754909,Exception,2022-03-07,Package delivered by local post office
5,1Z1Y40560305906710,Delivered,2022-03-09,DELIVERED
6,1Z7270660301422702,Delivered,2022-03-10,DELIVERED
7,1ZW934R50370195332,Exception,2022-03-10,Shipper created a label, UPS has not received the package yet.
8,1Z706W640301032607,Delivered,2022-03-10,DELIVERED
9,1Z7R2590YW34034787,Delivered,2022-03-09,DELIVERED
10,1ZA0T5770306425809,Exception,2022-03-25,Voided Information Received
11,1ZA567Y40304762456,Delivered,2022-03-10,DELIVERED
12,1Z7R2590YW02547579,Delivered,2022-03-11,DELIVERED
13,1Z3Y579V0391359575,Delivered,2022-03-10,DELIVERED